Employee ID,First Name,Last Name,Department,Job Title,Hire Date,Performance Rating,Employment Status,Email,Salary EUR,Leave Date,Leave Reason
56088854,Kevin,Perkins,IT,IT Manager,2021-02-20,Satisfactory,Active,riveraerika@hernandez.com,4418.95,,
59994640,Gary,Robinson,Compliance,Compliance Manager,2014-01-24,Excellent,Active,huffmanjohn@lewis-morgan.com,2209.97,,
93142663,Adam,Carlson,Investment Banking,Associate,2019-06-08,Excellent,On Leave,jenkinsjoseph@evans.org,1039.25,,
39710055,Pamela,Brown,Investment Banking,Analyst,2013-02-13,Excellent,Active,qgarrett@shepherd-campbell.com,3005.19,,
54420168,Samuel,Morales,Compliance,Compliance Manager,2018-08-08,Excellent,On Leave,hendersonjason@holland.com,1119.89,,
49565751,Nicholas,Oliver,Retail Banking,Personal Banker,2011-08-16,Needs Improvement,Resigned,tina63@fox.com,3027.73,2011-12-05,Involuntary
13136604,Courtney,Mays,Investment Banking,Associate,2014-10-21,Satisfactory,Resigned,richardsonlaura@brown-young.com,2389.49,2016-07-22,Involuntary
82061111,Carol,Jennings,Retail Banking,Branch Manager,2017-10-13,Good,Resigned,patricia59@daugherty.info,4868.19,2021-09-11,Voluntary
25310238,Joseph,James,Finance,Finance Manager,2020-06-25,Excellent,On Leave,jeffcooper@warren-levine.com,2741.08,,
52390333,Michael,Coleman,Compliance,Compliance Officer,2020-03-13,Satisfactory,On Leave,sanchezclifford@johnston.info,3995.46,,
50366088,Joseph,Brown,HR,HR Manager,2023-01-29,Good,On Leave,ucarpenter@williams.info,3251.48,,
60538918,James,Johnson,Corporate Banking,Account Manager,2017-12-03,Satisfactory,On Leave,holmeselijah@shaffer-rowe.com,3617.68,,
11767824,Deanna,Foster,Operations,Operations Manager,2016-06-26,Good,Active,bryanttimothy@jones-church.info,1027.73,,
66553328,Terry,Newton,HR,HR Assistant,2013-05-22,Satisfactory,Active,qpeters@webb.com,4228.91,,
